Date,Clicks,Impressions,CTR,Position
2025-03-02,681,10065,6.77%,13.1
2025-03-03,567,9204,6.16%,13
2025-03-04,549,9343,5.88%,12.9
2025-03-05,501,8967,5.59%,13.3
2025-03-06,577,9237,6.25%,13
2025-03-07,626,9813,6.38%,12.5
2025-03-08,725,10093,7.18%,12.2
2025-03-09,641,9409,6.81%,12.4
2025-03-10,592,9705,6.1%,12.7
2025-03-11,657,9057,7.25%,13.6
2025-03-12,590,9939,5.94%,13.4
2025-03-13,574,9185,6.25%,13.3
2025-03-14,619,9538,6.49%,13.1
2025-03-15,707,9781,7.23%,13.4
2025-03-16,613,9244,6.63%,14.2
2025-03-17,591,8852,6.68%,13.8
2025-03-18,540,9247,5.84%,13.7
2025-03-19,592,9434,6.28%,13.1
2025-03-20,577,11862,4.86%,14.3
2025-03-21,747,10494,7.12%,12.1
2025-03-22,840,10881,7.72%,13.2
2025-03-23,664,9876,6.72%,13.5
2025-03-24,618,9581,6.45%,13.3
2025-03-25,599,9838,6.09%,12.8
2025-03-26,653,9548,6.84%,13.1
2025-03-27,598,9543,6.27%,12.9
2025-03-28,700,10415,6.72%,12.5
2025-03-29,792,10927,7.25%,12.3
2025-03-30,747,10749,6.95%,12.5
2025-03-31,662,10554,6.27%,13
2025-04-01,688,11001,6.25%,12.9
2025-04-02,599,9708,6.17%,12.5
2025-04-03,607,10447,5.81%,12.7
2025-04-04,741,10942,6.77%,12.3
2025-04-05,728,10219,7.12%,13.4
2025-04-06,574,9599,5.98%,13.6
2025-04-07,561,9296,6.03%,13.9
2025-04-08,539,8684,6.21%,14.4
2025-04-09,490,8504,5.76%,14.4
2025-04-10,508,8952,5.67%,14.6
2025-04-11,649,9378,6.92%,13.6
2025-04-12,721,10106,7.13%,13.9
2025-04-13,582,9282,6.27%,14.4
2025-04-14,563,9530,5.91%,14.7
2025-04-15,564,9407,6%,14.2
2025-04-16,576,8434,6.83%,13.2
2025-04-17,603,8703,6.93%,13.6
2025-04-18,612,9337,6.55%,13.4
2025-04-19,765,8994,8.51%,13.5
2025-04-20,668,8743,7.64%,13.6
2025-04-21,631,8583,7.35%,14
2025-04-22,604,9194,6.57%,14.1
2025-04-23,596,9661,6.17%,14
2025-04-24,594,9687,6.13%,13.7
