Country,Clicks,Impressions,CTR,Position
Netherlands,208860,2446718,8.54%,10.06
Belgium,8642,89123,9.7%,14.33
United Kingdom,8155,83794,9.73%,13.23
Germany,6390,58903,10.85%,12.7
United States,5818,267837,2.17%,18.5
France,3195,29593,10.8%,12.44
Sweden,2979,20568,14.48%,8.51
Norway,2328,16824,13.84%,9.03
Spain,2290,26414,8.67%,12.32
Ireland,2255,15796,14.28%,9.75
Italy,2167,42430,5.11%,15.83
India,1971,29944,6.58%,20.06
Romania,1929,27925,6.91%,9.11
Denmark,1579,10390,15.2%,8.36
Switzerland,1266,11933,10.61%,13.42
Poland,1218,11899,10.24%,11.37
Canada,1116,16328,6.83%,15.12
Turkey,1108,11461,9.67%,15.34
Greece,955,8771,10.89%,10.38
Portugal,885,7103,12.46%,9.29
Finland,867,6731,12.88%,8.54
Austria,667,5161,12.92%,11.23
Lithuania,614,9180,6.69%,14.47
Croatia,605,4569,13.24%,8.88
Bulgaria,588,5046,11.65%,10.08
Israel,566,6551,8.64%,13.98
Czechia,545,4228,12.89%,10.81
Hungary,538,4078,13.19%,10.32
Australia,515,10878,4.73%,13.95
Luxembourg,406,2917,13.92%,8.32
South Africa,391,8358,4.68%,15.84
Slovakia,374,2724,13.73%,7.57
Latvia,364,3794,9.59%,10.99
Egypt,317,4608,6.88%,20.3
Estonia,314,1921,16.35%,8.54
Ukraine,294,7408,3.97%,20.02
Serbia,288,2902,9.92%,13.13
Singapore,232,4943,4.69%,14.48
Mexico,227,10247,2.22%,16.07
Brazil,217,68163,0.32%,20.89
Slovenia,203,1387,14.64%,10.42
Pakistan,200,5716,3.5%,20.42
Morocco,189,4446,4.25%,15.49
Cyprus,184,2341,7.86%,10.74
Iceland,184,1557,11.82%,8.24
Albania,172,2347,7.33%,12.28
Japan,164,3558,4.61%,20.13
United Arab Emirates,145,3129,4.63%,13.81
Saudi Arabia,132,2009,6.57%,14.64
Iran,126,1486,8.48%,13.63
Colombia,120,3883,3.09%,18.74
Malta,120,1335,8.99%,10.52
Bosnia & Herzegovina,113,1379,8.19%,12.87
New Zealand,113,1375,8.22%,17.59
Qatar,103,1066,9.66%,12.45
Thailand,101,2668,3.79%,24.61
Argentina,97,6672,1.45%,22.5
Georgia,92,1263,7.28%,15.04
Jordan,84,2584,3.25%,14.88
Malaysia,83,4722,1.76%,20.12
Iraq,83,4436,1.87%,17.19
Curaçao,81,1575,5.14%,8.25
Russia,77,15348,0.5%,27.92
Moldova,70,1138,6.15%,14.57
Bangladesh,68,7309,0.93%,19.21
Macedonia,65,846,7.68%,11
Lebanon,64,987,6.48%,13.67
Indonesia,62,3703,1.67%,28.52
Nigeria,61,939,6.5%,15.65
Chile,58,1861,3.12%,19.65
Hong Kong,56,887,6.31%,15.07
Suriname,55,451,12.2%,12.45
Aruba,53,1134,4.67%,7.7
Tunisia,52,1825,2.85%,18.52
Isle of Man,52,324,16.05%,7.75
Kuwait,51,532,9.59%,13.84
Taiwan,48,3027,1.59%,23.1
Montenegro,48,549,8.74%,11.81
Kenya,47,1798,2.61%,18.5
Sri Lanka,46,581,7.92%,20.81
Algeria,44,1912,2.3%,23.25
Peru,43,1554,2.77%,22.29
Trinidad & Tobago,42,1717,2.45%,17.81
Vietnam,40,13289,0.3%,25.71
Mauritius,40,317,12.62%,11.86
South Korea,36,9524,0.38%,27.9
Jersey,35,209,16.75%,9.72
Oman,34,929,3.66%,16.07
Kosovo,31,330,9.39%,9.37
Ecuador,30,3442,0.87%,20.8
Benin,30,277,10.83%,18.84
Panama,29,704,4.12%,17.17
China,29,407,7.13%,14.6
Philippines,28,5646,0.5%,30.53
Bahrain,28,647,4.33%,17.8
Ghana,28,412,6.8%,22.48
Azerbaijan,27,1089,2.48%,17.74
Costa Rica,27,747,3.61%,16.02
Uzbekistan,25,2366,1.06%,18.45
Kazakhstan,25,1278,1.96%,21.3
Armenia,23,589,3.9%,16.46
Guernsey,23,123,18.7%,8.87
Nepal,19,1592,1.19%,19.55
Uruguay,19,1271,1.49%,17.39
Guatemala,17,458,3.71%,19.29
Puerto Rico,17,446,3.81%,16.9
Tanzania,17,369,4.61%,15.06
Libya,17,314,5.41%,16.25
Venezuela,16,3011,0.53%,19.11
Syria,15,561,2.67%,16.8
Sint Maarten,15,505,2.97%,9.19
Angola,15,420,3.57%,18.88
Kyrgyzstan,14,423,3.31%,20.05
Bolivia,13,1489,0.87%,12.65
Uganda,13,269,4.83%,16.2
Namibia,13,142,9.15%,14.58
Belarus,12,890,1.35%,26.11
Ethiopia,12,836,1.44%,19.22
Palestine,12,622,1.93%,17.23
Faroe Islands,12,211,5.69%,6.99
Unknown Region,11,1370,0.8%,29.23
Caribbean Netherlands,11,262,4.2%,7.88
Seychelles,11,195,5.64%,19.57
Gibraltar,11,100,11%,11.1
Dominican Republic,9,2272,0.4%,17.54
Zambia,9,147,6.12%,15.42
Jamaica,8,1089,0.73%,18.93
Cambodia,8,477,1.68%,25.22
Côte d’Ivoire,8,366,2.19%,21.25
Congo - Brazzaville,7,145,4.83%,17.76
Liechtenstein,7,43,16.28%,12.12
Monaco,7,31,22.58%,11.97
Honduras,6,807,0.74%,18.41
El Salvador,6,336,1.79%,21.21
Mongolia,6,184,3.26%,22.51
Burkina Faso,6,153,3.92%,23
Andorra,6,113,5.31%,13.5
Guyana,5,321,1.56%,17.57
Zimbabwe,5,138,3.62%,18.39
Maldives,5,125,4%,14.66
Mozambique,5,113,4.42%,19.41
Botswana,5,107,4.67%,19.26
Paraguay,4,1239,0.32%,20.32
Gabon,4,185,2.16%,21.14
Cape Verde,4,179,2.23%,14.81
Cameroon,4,155,2.58%,19.95
Bermuda,4,130,3.08%,15.81
Mali,4,85,4.71%,17.61
Somalia,4,79,5.06%,18.1
Yemen,4,72,5.56%,18.65
Turkmenistan,4,37,10.81%,9.35
Belize,3,519,0.58%,15.9
Senegal,3,467,0.64%,18.25
Cuba,3,115,2.61%,25.3
Rwanda,3,93,3.23%,21.8
Afghanistan,3,61,4.92%,16.03
Gambia,3,52,5.77%,6.67
Martinique,3,21,14.29%,24.52
Bhutan,3,16,18.75%,18.25
Barbados,2,954,0.21%,18.56
Bahamas,2,419,0.48%,18.19
Myanmar (Burma),2,309,0.65%,26.91
Congo - Kinshasa,2,116,1.72%,20.14
Greenland,2,29,6.9%,7.76
St. Martin,2,28,7.14%,10
U.S. Virgin Islands,2,26,7.69%,14.19
French Guiana,2,24,8.33%,15.83
Liberia,2,23,8.7%,13.26
Guadeloupe,2,22,9.09%,26.27
Åland Islands,2,17,11.76%,9
Guam,2,17,11.76%,15.24
Northern Mariana Islands,2,8,25%,8.75
Central African Republic,2,3,66.67%,8
Nicaragua,1,278,0.36%,17.93
British Virgin Islands,1,205,0.49%,16.31
Brunei,1,93,1.08%,22.51
Togo,1,90,1.11%,16.51
Antigua & Barbuda,1,77,1.3%,16.35
Swaziland,1,57,1.75%,12.7
Malawi,1,54,1.85%,16.31
Mauritania,1,51,1.96%,18.14
South Sudan,1,15,6.67%,18
Niger,1,15,6.67%,18.4
Lesotho,1,10,10%,35.8
Djibouti,1,9,11.11%,9.67
Timor-Leste,1,7,14.29%,8
Vanuatu,1,6,16.67%,15.83
Comoros,1,5,20%,21
Equatorial Guinea,1,5,20%,44.2
St. Lucia,0,170,0%,18.52
Grenada,0,114,0%,19.02
St. Kitts & Nevis,0,99,0%,19.79
Laos,0,96,0%,23.86
Cayman Islands,0,74,0%,15.11
St. Vincent & Grenadines,0,69,0%,16.71
Chad,0,61,0%,5.79
Madagascar,0,57,0%,33.28
Tajikistan,0,49,0%,21.73
Réunion,0,49,0%,29.45
Fiji,0,41,0%,24.29
Dominica,0,36,0%,28.53
