Date,Clicks,Impressions,CTR,Position
2025-03-02,127,1742,7.29%,18.8
2025-03-03,99,1758,5.63%,17.1
2025-03-04,95,1763,5.39%,16.6
2025-03-05,77,1682,4.58%,16.3
2025-03-06,88,1677,5.25%,16.2
2025-03-07,127,1973,6.44%,13.2
2025-03-08,139,2072,6.71%,11.4
2025-03-09,129,1973,6.54%,12.2
2025-03-10,138,2022,6.82%,12.2
2025-03-11,145,1841,7.88%,12
2025-03-12,143,1969,7.26%,13.2
2025-03-13,116,1792,6.47%,13.4
2025-03-14,110,1879,5.85%,13.2
2025-03-15,139,1957,7.1%,12.8
2025-03-16,127,1838,6.91%,13.6
2025-03-17,94,1700,5.53%,12.1
2025-03-18,125,1903,6.57%,13.1
2025-03-19,123,1766,6.96%,13.2
2025-03-20,105,2148,4.89%,15.9
2025-03-21,133,1879,7.08%,13.9
2025-03-22,137,1901,7.21%,13.9
2025-03-23,114,1802,6.33%,14.4
2025-03-24,104,1759,5.91%,14.9
2025-03-25,100,1995,5.01%,14.4
2025-03-26,142,2071,6.86%,14.4
2025-03-27,118,1994,5.92%,13.9
2025-03-28,141,2138,6.59%,13.7
2025-03-29,127,2175,5.84%,13
2025-03-30,128,1930,6.63%,15
2025-03-31,116,1890,6.14%,14.7
2025-04-01,96,1901,5.05%,15.3
2025-04-02,82,1568,5.23%,15.2
2025-04-03,78,1644,4.74%,16
2025-04-04,109,2077,5.25%,13.6
2025-04-05,112,1881,5.95%,14.9
2025-04-06,90,1649,5.46%,16.1
2025-04-07,84,1676,5.01%,14.8
2025-04-08,67,1530,4.38%,17.3
2025-04-09,76,1564,4.86%,18.3
2025-04-10,79,1517,5.21%,17.8
2025-04-11,79,1592,4.96%,17.9
2025-04-12,86,1783,4.82%,17
2025-04-13,71,1638,4.33%,18.5
2025-04-14,90,1811,4.97%,17.2
2025-04-15,81,1646,4.92%,18
2025-04-16,74,1341,5.52%,17.3
2025-04-17,67,1197,5.6%,17.7
2025-04-18,91,1517,6%,15.8
2025-04-19,112,1455,7.7%,16.6
2025-04-20,94,1443,6.51%,15.8
2025-04-21,101,1435,7.04%,16.2
2025-04-22,92,1554,5.92%,16.6
2025-04-23,82,1710,4.8%,16.9
2025-04-24,100,1781,5.61%,17.7
2025-04-25,102,1876,5.44%,17.1
2025-04-26,132,1996,6.61%,15.7
2025-04-27,105,1791,5.86%,17.1
2025-04-28,116,1838,6.31%,17.2
2025-04-29,93,1649,5.64%,17
2025-04-30,85,1631,5.21%,17.8
2025-05-01,85,1565,5.43%,19.7
2025-05-02,104,1729,6.02%,18.7
2025-05-03,113,1792,6.31%,17.2
2025-05-04,94,1748,5.38%,19.5
2025-05-05,84,1764,4.76%,19.3
2025-05-06,69,1449,4.76%,19.9
2025-05-07,92,1444,6.37%,19.4
2025-05-08,98,1830,5.36%,19.4
2025-05-09,103,1914,5.38%,18.2
2025-05-10,109,1907,5.72%,16.9
2025-05-11,94,1736,5.41%,19.3
2025-05-12,86,1763,4.88%,21.1
2025-05-13,96,1630,5.89%,21.1
2025-05-14,111,1754,6.33%,18.3
2025-05-15,107,1733,6.17%,16.9
2025-05-16,131,2072,6.32%,16.2
2025-05-17,124,1816,6.83%,16
2025-05-18,111,1877,5.91%,16.4
2025-05-19,141,2124,6.64%,16
2025-05-20,129,1890,6.83%,14
2025-05-21,87,1925,4.52%,13.9
2025-05-22,95,1946,4.88%,15.4
2025-05-23,118,1965,6.01%,15.3
2025-05-24,161,2371,6.79%,13.9
2025-05-25,96,2035,4.72%,16.1
2025-05-26,98,1959,5%,15.1
2025-05-27,119,2008,5.93%,15.1
2025-05-28,106,1930,5.49%,16.2
2025-05-29,123,2159,5.7%,16.2
2025-05-30,130,2153,6.04%,14.9
2025-05-31,134,2145,6.25%,13.5
2025-06-01,124,2117,5.86%,15.8
2025-06-02,114,2266,5.03%,15.4
2025-06-03,107,2043,5.24%,14.6
2025-06-04,114,1963,5.81%,15
2025-06-05,103,2538,4.06%,14.6
2025-06-06,127,2389,5.32%,13.5
2025-06-07,122,2002,6.09%,14.5
2025-06-08,107,1987,5.39%,16.5
2025-06-09,91,1847,4.93%,17.6
2025-06-10,84,1929,4.35%,15.8
2025-06-11,81,1864,4.35%,15.4
